,Release Group,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent,year
53,Bedazzled,"9,03,83,208","3,78,86,980",41.90%,"5,24,96,228",58.10%,2000
54,Snatch,"8,35,57,872","3,03,28,156",36.30%,"5,32,29,716",63.70%,2000
55,Men of Honor,"8,23,43,495","4,88,18,921",59.30%,"3,35,24,574",40.70%,2000
56,Finding Forrester,"8,00,49,764","5,18,04,714",64.70%,"2,82,45,050",35.30%,2000
57,The Road to El Dorado,"7,64,32,727","5,08,63,742",66.50%,"2,55,68,985",33.50%,2000
58,"Dude, Where's My Car?","7,31,80,723","4,67,29,800",63.90%,"2,64,50,923",36.10%,2000
59,"O Brother, Where Art Thou?","7,18,68,327","4,55,12,588",63.30%,"2,63,55,739",36.70%,2000
60,Rules of Engagement,"7,17,32,303","6,13,35,230",85.50%,"1,03,97,073",14.50%,2000
61,Frequency,"6,81,06,245","4,50,10,278",66.10%,"2,30,95,967",33.90%,2000
62,Thirteen Days,"6,65,79,890","3,45,92,089",52%,"3,19,87,801",48%,2000
63,Proof of Life,"6,27,61,005","3,25,98,931",51.90%,"3,01,62,074",48.10%,2000
64,Snow Day,"6,24,64,731","6,00,20,107",96.10%,"24,44,624",3.90%,2000
65,28 Days,"6,21,98,945","3,71,70,488",59.80%,"2,50,28,457",40.20%,2000
66,Taxi 2,"6,07,26,164","6,26,164",1%,"6,01,00,000",99%,2000
67,Keeping the Faith,"5,99,45,183","3,70,47,880",61.80%,"2,28,97,303",38.20%,2000
68,Next Friday,"5,98,27,328","5,73,28,603",95.80%,"24,98,725",4.20%,2000
69,The Flintstones in Viva Rock Vegas,"5,94,68,275","3,52,68,275",59.30%,"2,42,00,000",40.70%,2000
70,Little Nicky,"5,82,92,295","3,94,64,775",67.70%,"1,88,27,520",32.30%,2000
71,Pay It Forward,"5,57,07,411","3,35,19,628",60.20%,"2,21,87,783",39.80%,2000
72,Bounce,"5,34,25,292","3,68,05,288",68.90%,"1,66,20,004",31.10%,2000
73,Pitch Black,"5,31,87,659","3,92,40,659",73.80%,"1,39,47,000",26.20%,2000
74,Hanging Up,"5,18,80,044","3,60,50,230",69.50%,"1,58,29,814",30.50%,2000
75,The Skulls,"5,08,02,120","3,50,46,120",69%,"1,57,56,000",31%,2000
76,The Replacements,"5,00,54,511","4,47,37,059",89.40%,"53,17,452",10.60%,2000
77,Book of Shadows: Blair Witch 2,"4,77,37,094","2,64,37,094",55.40%,"2,13,00,000",44.60%,2000
78,Almost Famous,"4,73,83,689","3,25,34,850",68.70%,"1,48,48,839",31.30%,2000
79,The Watcher,"4,72,67,829","2,89,46,615",61.20%,"1,83,21,214",38.80%,2000
80,High Fidelity,"4,71,26,295","2,72,87,137",57.90%,"1,98,39,158",42.10%,2000
81,Dracula 2000,"4,70,53,625","3,30,22,767",70.20%,"1,40,30,858",29.80%,2000
82,The Gift,"4,45,67,606","1,20,08,642",26.90%,"3,25,58,964",73.10%,2000
83,Where the Heart Is,"4,08,63,718","3,37,72,838",82.60%,"70,90,880",17.40%,2000
84,Bless the Child,"4,04,43,010","2,93,81,494",72.60%,"1,10,61,516",27.40%,2000
85,The Art of War,"4,04,00,425","3,02,08,599",74.80%,"1,01,91,826",25.20%,2000
86,Dancer in the Dark,"4,00,31,879","41,84,036",10.50%,"3,58,47,843",89.50%,2000
87,The Legend of Bagger Vance,"3,94,59,427","3,09,19,168",78.40%,"85,40,259",21.60%,2000
88,Urban Legends: Final Cut,"3,85,74,362","2,14,68,807",55.70%,"1,71,05,555",44.30%,2000
89,The Original Kings of Comedy,"3,81,82,790","3,81,82,790",100%,0,0,2000
90,Titan A.E.,"3,67,54,634","2,27,53,426",61.90%,"1,40,01,208",38.10%,2000
91,Return to Me,"3,66,09,995","3,27,22,798",89.40%,"38,87,197",10.60%,2000
92,My Dog Skip,"3,55,47,761","3,41,34,641",96%,"14,13,120",4%,2000
93,The Adventures of Rocky & Bullwinkle,"3,51,34,820","2,60,05,820",74%,"91,29,000",26%,2000
94,American Psycho,"3,42,66,564","1,50,70,285",44%,"1,91,96,279",56%,2000
95,Dungeons & Dragons,"3,39,78,694","1,53,91,970",45.30%,"1,85,86,724",54.70%,2000
96,Red Planet,"3,34,63,969","1,74,80,890",52.20%,"1,59,83,079",47.80%,2000
97,Wonder Boys,"3,34,26,588","1,93,93,557",58%,"1,40,33,031",42%,2000
98,Reindeer Games,"3,21,68,970","2,33,68,995",72.60%,"87,99,975",27.40%,2000
99,Lost Souls,"3,13,55,910","1,68,15,253",53.60%,"1,45,40,657",46.40%,2000
100,Small Time Crooks,"2,99,34,477","1,72,66,359",57.70%,"1,26,68,118",42.30%,2000
101,Battlefield Earth,"2,97,25,663","2,14,71,685",72.20%,"82,53,978",27.80%,2000
102,Nurse Betty,"2,93,60,400","2,51,70,054",85.70%,"41,90,346",14.30%,2000
103,Boiler Room,"2,87,80,255","1,69,70,581",59%,"1,18,09,674",41%,2000
104,The Little Vampire,"2,79,65,865","1,35,72,400",48.50%,"1,43,93,465",51.50%,2000
105,Love & Basketball,"2,77,28,118","2,74,59,615",99%,"2,68,503",1%,2000
106,Cirque du Soleil: Journey of Man,"2,75,38,359","1,56,27,434",56.70%,"1,19,10,925",43.30%,2000
107,Center Stage,"2,63,85,941","1,72,00,925",65.20%,"91,85,016",34.80%,2000
108,Saving Grace,"2,63,30,482","1,21,78,602",46.30%,"1,41,51,880",53.70%,2000
109,Boys and Girls,"2,58,50,615","2,17,99,652",84.30%,"40,50,963",15.70%,2000
110,Down to You,"2,44,19,914","2,00,69,008",82.20%,"43,50,906",17.80%,2000
111,The Next Best Thing,"2,43,62,772","1,49,90,582",61.50%,"93,72,190",38.50%,2000
112,Dr. T & the Women,"2,28,44,291","1,31,13,041",57.40%,"97,31,250",42.60%,2000
113,The Contender,"2,23,61,811","1,78,72,723",79.90%,"44,89,088",20.10%,2000
114,Michael Jordan to the Max,"2,12,68,532","1,86,50,521",87.70%,"26,18,011",12.30%,2000
115,Best in Show,"2,07,89,556","1,87,15,392",90%,"20,74,164",10%,2000
116,Thomas and the Magic Railroad,"1,97,48,009","1,59,33,506",80.70%,"38,14,503",19.30%,2000
117,Get Carter,"1,94,12,993","1,49,67,182",77.10%,"44,45,811",22.90%,2000
118,The Ninth Gate,"1,86,61,336","1,86,61,336",100%,0,0,2000
119,Loser,"1,84,04,706","1,56,18,626",84.90%,"27,86,080",15.10%,2000
120,All the Pretty Horses,"1,81,33,495","1,55,40,353",85.70%,"25,93,142",14.30%,2000
121,Quills,"1,79,89,227","70,65,332",39.30%,"1,09,23,895",60.70%,2000
122,CyberWorld,"1,66,53,900","1,12,53,900",67.60%,"54,00,000",32.40%,2000
123,Digimon: The Movie,"1,66,43,191","96,31,153",57.90%,"70,12,038",42.10%,2000
124,The Dish,"1,65,75,074","25,52,992",15.40%,"1,40,22,082",84.60%,2000
125,Italian for Beginners,"1,63,49,568","45,44,753",27.80%,"1,18,04,815",72.20%,2000
126,Drowning Mona,"1,59,06,764","1,55,06,764",97.50%,"4,00,000",2.50%,2000
127,Highlander: Endgame,"1,58,43,608","1,28,11,858",80.90%,"30,31,750",19.10%,2000
128,Bait,"1,54,71,969","1,53,25,127",99.10%,"1,46,842",0.90%,2000
129,Supernova,"1,48,28,081","1,42,30,455",96%,"5,97,626",4%,2000
130,Malena,"1,44,93,284","34,48,233",23.80%,"1,10,45,051",76.20%,2000
131,I Dreamed of Africa,"1,44,00,327","66,51,522",46.20%,"77,48,805",53.80%,2000
132,What Planet Are You From?,"1,41,45,677","62,91,602",44.50%,"78,54,075",55.50%,2000
133,The Ladies Man,"1,37,43,212","1,36,16,610",99.10%,"1,26,602",0.90%,2000
134,Solarmax,"1,34,00,161","1,34,00,161",100%,0,0,2000
135,The Crew,"1,31,05,853","1,30,23,075",99.40%,"82,778",0.60%,2000
136,The Way of the Gun,"1,30,69,740","60,55,661",46.30%,"70,14,079",53.70%,2000
137,In the Mood for Love,"1,28,54,953","27,38,980",21.30%,"1,01,15,973",78.70%,2000
138,Gossip,"1,25,91,270","51,08,820",40.60%,"74,82,450",59.40%,2000
139,Ready to Rumble,"1,24,52,362","1,23,94,327",99.50%,"58,035",0.50%,2000
140,Drunken Master II,"1,15,55,430","1,15,55,430",100%,0,0,2000
141,You Can Count on Me,"1,12,42,521","94,16,804",83.80%,"18,25,717",16.20%,2000
142,Shadow of the Vampire,"1,11,55,214","82,93,784",74.30%,"28,61,430",25.70%,2000
143,Lucky Numbers,"1,08,90,222","1,00,42,516",92.20%,"8,47,706",7.80%,2000
144,Here on Earth,"1,08,73,148","1,05,22,168",96.80%,"3,50,980",3.20%,2000
145,Pollock,"1,05,58,970","85,98,593",81.40%,"19,60,377",18.60%,2000
146,Anatomy,"1,05,01,958","9,660",<0.1%,"1,04,92,298",99.90%,2000
147,The Virgin Suicides,"1,04,09,377","49,06,229",47.10%,"55,03,148",52.90%,2000
148,Woman on Top,"1,01,94,274","50,20,111",49.20%,"51,74,163",50.80%,2000
149,Godzilla 2000,"1,00,37,390","1,00,37,390",100%,0,0,2000
150,Whatever It Takes,"99,02,115","87,45,680",88.30%,"11,56,435",11.70%,2000
151,3 Strikes,"98,32,166","98,32,166",100%,0,0,2000
152,Bread and Tulips,"97,19,848","53,18,679",54.70%,"44,01,169",45.30%,2000
153,Ghost Dog: The Way of the Samurai,"93,80,473","33,08,029",35.30%,"60,72,444",64.70%,2000
154,State and Main,"92,06,279","69,44,471",75.40%,"22,61,808",24.60%,2000
155,Before Night Falls,"85,27,517","42,42,892",49.80%,"42,84,625",50.20%,2000
156,Butterfly,"77,33,894","20,92,682",27.10%,"56,41,212",72.90%,2000
157,Ants in the Pants,"76,25,967",0,0,"76,25,967",100%,2000
158,Requiem for a Dream,"73,90,108","36,35,482",49.20%,"37,54,626",50.80%,2000
159,Where the Money Is,"72,43,669","56,61,798",78.20%,"15,81,871",21.80%,2000
160,Screwed,"72,01,701","70,27,345",97.60%,"1,74,356",2.40%,2000
161,Widow of St. Pierre,"71,93,889","31,93,889",44.40%,"40,00,000",55.60%,2000
162,Croupier,"70,75,068","62,01,143",87.60%,"8,73,925",12.40%,2000
163,Duets,"66,20,242","47,39,023",71.60%,"18,81,219",28.40%,2000
164,Now or Never,"59,95,963",0,0,"59,95,963",100%,2000
165,Black & White,"55,41,431","52,77,299",95.20%,"2,64,132",4.80%,2000
166,The in Crowd,"52,80,035","52,80,035",100%,0,0,2000
167,The House of Mirth,"51,64,404","30,43,284",58.90%,"21,21,120",41.10%,2000
168,Otto 0 Der Katastrofenfilm,"50,58,355",0,0,"50,58,355",100%,2000
169,Whipped,"47,75,009","41,59,986",87.10%,"6,15,023",12.90%,2000
170,Held Up,"47,05,631","47,05,631",100%,0,0,2000
171,The Jungle Book 2000 Re0release,"44,66,472",0,0,"44,66,472",100%,2000
172,The Tao of Steve,"44,06,030","43,42,203",98.60%,"63,827",1.40%,2000
173,Mohabbatein,"42,79,351","10,70,000",25%,"32,09,351",75%,2000
174,East Is East,"41,77,818","41,77,818",100%,0,0,2000
175,Bossa Nova,"40,69,261","18,23,297",44.80%,"22,45,964",55.20%,2000
176,Erkan & Stefan,"40,26,949",0,0,"40,26,949",100%,2000
177,Pettson & Findus 0 Katten och gubbens år,"39,20,489",0,0,"39,20,489",100%,2000
178,Up at the Villa,"37,40,113","29,33,161",78.40%,"8,06,952",21.60%,2000
179,The Big Kahuna,"37,28,888","31,65,544",84.90%,"5,63,344",15.10%,2000
180,Price of Glory,"35,48,556","34,40,228",96.90%,"1,08,328",3.10%,2000
181,Gun Shy,"32,21,280","16,38,202",50.90%,"15,83,078",49.10%,2000
182,Beautiful,"31,69,930","31,57,348",99.60%,"12,582",0.40%,2000
183,Isn't She Great,"30,03,296","29,62,465",98.60%,"40,831",1.40%,2000
184,No More School,"28,70,533",0,0,"28,70,533",100%,2000
185,Flickering Lights,"27,60,019",0,0,"27,60,019",100%,2000
186,The Color of Paradise,"27,24,595","18,17,216",66.70%,"9,07,379",33.30%,2000
187,God's Army,"26,37,726","26,37,726",100%,0,0,2000
188,But I'm a Cheerleader,"25,95,216","22,05,627",85%,"3,89,589",15%,2000
189,Bamboozled,"24,63,650","22,74,979",92.30%,"1,88,671",7.70%,2000
190,East/West,"23,21,029","23,21,029",100%,0,0,2000
191,Shower,"21,50,929","11,57,764",53.80%,"9,93,165",46.20%,2000
192,Left Luggage,"21,11,280","10,69,540",50.70%,"10,41,740",49.30%,2000
193,Blood Simple 2000 Re0release,"20,68,701","17,01,855",82.30%,"3,66,846",17.70%,2000
194,Marlene,"20,61,924",0,0,"20,61,924",100%,2000
195,Hamlet,"20,46,433","15,77,287",77.10%,"4,69,146",22.90%,2000
196,The Broken Hearts Club: A Romantic Comedy,"20,19,121","17,46,585",86.50%,"2,72,536",13.50%,2000
197,Cecil B. Demented,"19,61,544","12,84,646",65.50%,"6,76,898",34.50%,2000
198,The Life and Times of Hank Greenberg,"17,12,385","17,12,385",100%,0,0,2000
199,The Girl on the Bridge,"17,08,839","17,08,839",100%,0,0,2000
0,Harry Potter and the Sorcerer's Stone,"97,47,55,371","31,75,75,550",32.60%,"65,71,79,821",67.40%,2001
1,The Lord of the Rings: The Fellowship of the Ring,"86,83,85,360","31,33,64,114",36.10%,"55,50,21,246",63.90%,2001
2,"Monsters, Inc.","52,87,73,250","25,58,73,250",48.40%,"27,29,00,000",51.60%,2001
3,Shrek,"48,45,96,038","26,78,51,831",55.30%,"21,67,44,207",44.70%,2001
4,Ocean's Eleven,"45,07,17,150","18,34,17,150",40.70%,"26,73,00,000",59.30%,2001
5,Pearl Harbor,"44,92,20,945","19,85,42,554",44.20%,"25,06,78,391",55.80%,2001
6,The Mummy Returns,"43,30,13,274","20,20,19,785",46.70%,"23,09,93,489",53.30%,2001
7,Jurassic Park III,"36,87,80,809","18,11,71,875",49.10%,"18,76,08,934",50.90%,2001
8,Planet of the Apes,"36,22,11,740","18,00,11,740",49.70%,"18,22,00,000",50.30%,2001
9,Hannibal,"35,16,92,268","16,50,92,268",46.90%,"18,66,00,000",53.10%,2001
10,Rush Hour 2,"34,73,25,802","22,61,64,286",65.10%,"12,11,61,516",34.90%,2001
11,A Beautiful Mind,"31,35,42,341","17,07,42,341",54.50%,"14,28,00,000",45.50%,2001
12,American Pie 2,"28,75,53,595","14,51,03,595",50.50%,"14,24,50,000",49.50%,2001
13,Bridget Jones's Diary,"28,19,29,795","7,15,43,427",25.40%,"21,03,86,368",74.60%,2001
14,Spirited Away,"27,49,25,095","1,00,55,859",3.70%,"26,48,69,236",96.30%,2001
15,Lara Croft: Tomb Raider,"27,47,03,340","13,11,68,070",47.70%,"14,35,35,270",52.30%,2001
16,A.I. Artificial Intelligence,"23,59,26,552","7,86,16,689",33.30%,"15,73,09,863",66.70%,2001
17,The Others,"20,99,47,037","9,65,22,687",46%,"11,34,24,350",54%,2001
18,The Fast and the Furious,"20,72,83,925","14,45,33,925",69.70%,"6,27,50,000",30.30%,2001
19,Vanilla Sky,"20,33,88,341","10,06,18,344",49.50%,"10,27,69,997",50.50%,2001
20,Cats & Dogs,"20,06,87,492","9,33,85,515",46.50%,"10,73,01,977",53.50%,2001
21,Atlantis: The Lost Empire,"18,60,53,725","8,40,56,472",45.20%,"10,19,97,253",54.80%,2001
22,Moulin Rouge!,"17,92,13,434","5,73,86,607",32%,"12,18,26,827",68%,2001
23,Dr. Dolittle 2,"17,61,04,344","11,29,52,899",64.10%,"6,31,51,445",35.90%,2001
24,Amélie,"17,39,21,954","3,32,25,499",19.10%,"14,06,96,455",80.90%,2001
25,Black Hawk Down,"17,29,89,651","10,86,38,745",62.80%,"6,43,50,906",37.20%,2001
26,The Princess Diaries,"16,53,35,153","10,82,48,956",65.50%,"5,70,86,197",34.50%,2001
27,Spy Kids,"14,79,34,180","11,27,19,001",76.20%,"3,52,15,179",23.80%,2001
28,The Mexican,"14,78,45,033","6,68,45,033",45.20%,"8,10,00,000",54.80%,2001
29,Swordfish,"14,70,80,413","6,97,72,969",47.40%,"7,73,07,444",52.60%,2001
30,Spy Game,"14,30,49,560","6,23,62,560",43.60%,"8,06,87,000",56.40%,2001
31,Legally Blonde,"14,17,74,679","9,65,20,674",68.10%,"4,52,54,005",31.90%,2001
32,Scary Movie 2,"14,12,20,678","7,13,08,997",50.50%,"6,99,11,681",49.50%,2001
33,Shallow Hal,"14,10,69,860","7,08,39,203",50.20%,"7,02,30,657",49.80%,2001
34,America's Sweethearts,"13,83,07,673","9,36,07,673",67.70%,"4,47,00,000",32.30%,2001
35,Save the Last Dance,"13,17,06,809","9,10,57,006",69.10%,"4,06,49,803",30.90%,2001
36,A Knight's Tale,"11,74,87,473","5,65,69,702",48.10%,"6,09,17,771",51.90%,2001
37,The Score,"11,35,79,918","7,11,07,711",62.60%,"4,24,72,207",37.40%,2001
38,Along Came a Spider,"10,51,78,561","7,40,78,174",70.40%,"3,11,00,387",29.60%,2001
39,Training Day,"10,48,76,233","7,66,31,907",73.10%,"2,82,44,326",26.90%,2001
40,Jimmy Neutron: Boy Genius,"10,29,92,536","8,09,36,232",78.60%,"2,20,56,304",21.40%,2001
41,Don't Say a Word,"10,00,20,092","5,50,01,642",55%,"4,50,18,450",45%,2001
42,Evolution,"9,83,76,292","3,83,45,494",39%,"6,00,30,798",61%,2001
43,I Am Sam,"9,78,18,139","4,03,11,852",41.20%,"5,75,06,287",58.80%,2001
44,Enemy at the Gates,"9,69,76,270","5,14,01,758",53%,"4,55,74,512",47%,2001
45,The Wedding Planner,"9,47,28,529","6,04,00,856",63.80%,"3,43,27,673",36.20%,2001
46,Behind Enemy Lines,"9,17,53,202","5,88,56,790",64.10%,"3,28,96,412",35.90%,2001
47,Gosford Park,"8,77,54,044","4,13,08,615",47.10%,"4,64,45,429",52.90%,2001
48,Ali,"8,77,13,825","5,82,03,105",66.40%,"2,95,10,720",33.60%,2001
49,Rat Race,"8,54,98,534","5,66,18,055",66.20%,"2,88,80,479",33.80%,2001
50,Final Fantasy: The Spirits Within,"8,51,31,830","3,21,31,830",37.70%,"5,30,00,000",62.30%,2001
51,The Animal,"8,47,72,742","5,77,43,062",68.10%,"2,70,29,680",31.90%,2001
52,Blow,"8,32,82,296","5,29,90,775",63.60%,"3,02,91,521",36.40%,2001
53,Exit Wounds,"7,99,58,599","5,17,58,599",64.70%,"2,82,00,000",35.30%,2001
54,Serendipity,"7,75,16,304","5,02,94,317",64.90%,"2,72,21,987",35.10%,2001
55,Kate & Leopold,"7,60,19,048","4,71,21,859",62%,"2,88,97,189",38%,2001
56,Manitou's Shoe,"7,54,82,094",0,0,"7,54,82,094",100%,2001
57,From Hell,"7,45,58,115","3,16,02,566",42.40%,"4,29,55,549",57.60%,2001
58,The One,"7,26,89,126","4,39,05,746",60.40%,"2,87,83,380",39.60%,2001
59,The Royal Tenenbaums,"7,14,41,250","5,23,64,010",73.30%,"1,90,77,240",26.70%,2001
60,Down to Earth,"7,11,86,502","6,41,86,502",90.20%,"70,00,000",9.80%,2001
61,Brotherhood of the Wolf,"7,07,52,904","1,12,60,096",15.90%,"5,94,92,808",84.10%,2001
62,Thir13en Ghosts,"6,84,67,960","4,18,67,960",61.10%,"2,66,00,000",38.90%,2001
63,Pokémon 3 the Movie: Spell of the Unown,"6,84,11,275","1,70,52,128",24.90%,"5,13,59,147",75.10%,2001
64,Bandits,"6,76,31,903","4,15,75,141",61.50%,"2,60,56,762",38.50%,2001
65,Not Another Teen Movie,"6,64,68,332","3,82,52,284",57.50%,"2,82,16,048",42.50%,2001
66,Sweet November,"6,57,54,228","2,52,88,103",38.50%,"4,04,66,125",61.50%,2001
67,K0PAX,"6,50,01,485","5,03,38,485",77.40%,"1,46,63,000",22.60%,2001
68,Kiss of the Dragon,"6,44,37,847","3,68,45,124",57.20%,"2,75,92,723",42.80%,2001
69,Captain Corelli's Mandolin,"6,21,12,895","2,55,43,895",41.10%,"3,65,69,000",58.90%,2001
70,Zoolander,"6,07,80,981","4,51,72,250",74.30%,"1,56,08,731",25.70%,2001
71,The Crimson Rivers,"6,00,94,966","5,94,966",1%,"5,95,00,000",99%,2001
72,Jeepers Creepers,"5,92,17,789","3,79,04,175",64%,"2,13,13,614",36%,2001
73,Heartbreakers,"5,77,56,408","4,03,36,607",69.80%,"1,74,19,801",30.20%,2001
74,15 Minutes,"5,63,59,980","2,44,03,552",43.30%,"3,19,56,428",56.70%,2001
75,Driven,"5,47,44,738","3,27,20,065",59.80%,"2,20,24,673",40.20%,2001
76,Domestic Disturbance,"5,42,49,294","4,52,46,095",83.40%,"90,03,199",16.60%,2001
77,The Closet,"5,01,04,745","66,78,894",13.30%,"4,34,25,851",86.70%,2001
78,Monster's Ball,"4,49,09,486","3,12,73,922",69.60%,"1,36,35,564",30.40%,2001
79,Recess: School's Out,"4,44,60,850","3,67,06,141",82.60%,"77,54,709",17.40%,2001
80,Hardball,"4,41,02,389","4,02,22,729",91.20%,"38,79,660",8.80%,2001
81,In the Bedroom,"4,33,68,779","3,59,30,604",82.80%,"74,38,175",17.20%,2001
82,See Spot Run,"4,30,57,552","3,33,57,476",77.50%,"97,00,076",22.50%,2001
83,Shaolin Soccer,"4,27,76,760","4,89,600",1.10%,"4,22,87,160",98.90%,2001
84,Black Knight,"3,99,76,235","3,34,26,971",83.60%,"65,49,264",16.40%,2001
85,Memento,"3,97,23,096","2,55,44,867",64.30%,"1,41,78,229",35.70%,2001
86,Crocodile Dundee in Los Angeles,"3,94,38,674","2,56,35,682",65%,"1,38,02,992",35%,2001
87,Haunted Castle,"3,90,93,166","1,36,51,656",34.90%,"2,54,41,510",65.10%,2001
88,Someone Like You,"3,86,89,940","2,73,43,067",70.70%,"1,13,46,873",29.30%,2001
89,What's the Worst That Could Happen?,"3,84,64,131","3,22,69,834",83.90%,"61,94,297",16.10%,2001
90,The Majestic,"3,73,17,558","2,78,07,266",74.50%,"95,10,292",25.50%,2001
91,Valentine,"3,66,84,136","2,03,84,136",55.60%,"1,63,00,000",44.40%,2001
92,Joy Ride,"3,66,42,838","2,19,74,919",60%,"1,46,67,919",40%,2001
93,Riding in Cars with Boys,"3,57,43,308","3,01,65,536",84.40%,"55,77,772",15.60%,2001
94,Original Sin,"3,54,02,320","1,65,34,221",46.70%,"1,88,68,099",53.30%,2001
95,Jay and Silent Bob Strike Back,"3,37,88,161","3,00,85,147",89%,"37,03,014",11%,2001
96,And Your Mother Too,"3,36,16,692","1,38,39,658",41.20%,"1,97,77,034",58.80%,2001
